Bell No,Actual Time,Ideal time from medium response Kalman Filter
3,287520,287498
10,287690,287700
2,287900,287902
8,288130,288104
4,288280,288306
6,288500,288508
7,288670,288710
1,288950,288912
11,289120,289114
9,289310,289316
12,289530,289518
5,289700,289720
10,289890,289922
3,290090,290124
8,290330,290326
2,290530,290528
6,290740,290730
4,290980,290932
1,291420,291356
7,291570,291557
9,291750,291759
11,291980,291961
5,292170,292162
12,292340,292364
3,292520,292566
10,292780,292767
2,292970,292969
8,293170,293171
4,293360,293372
6,293570,293574
7,293770,293776
1,293960,293977
9,294210,294179
5,294380,294381
11,294590,294583
3,294780,294784
12,294950,294986
2,295200,295188
10,295390,295389
4,295600,295591
8,295790,295793
6,296010,295994
1,296490,296420
7,296590,296621
5,296840,296822
9,297020,297023
3,297250,297224
11,297440,297425
2,297660,297626
12,297790,297827
4,298020,298028
10,298270,298229
6,298400,298430
8,298640,298631
1,298840,298832
7,299020,299033
9,299250,299233
5,299420,299434
11,299640,299635
3,299670,299836
12,300020,300037
2,300240,300238
10,300460,300439
4,300660,300640
8,300860,300841
6,301100,301042
7,301520,301475
1,301740,301677
5,301870,301879
9,302080,302081
3,302280,302283
11,302450,302484
2,302690,302686
12,302850,302888
4,303020,303090
10,303310,303292
6,303490,303494
8,303720,303696
1,303940,303898
7,304140,304100
5,304300,304302
3,304560,304503
9,304690,304705
2,304900,304907
11,305090,305109
4,305310,305311
12,305480,305513
6,305710,305715
10,305890,305917
8,306160,306119
7,306650,306547
1,306800,306747
3,306950,306947
5,307140,307147
2,307350,307347
9,307530,307547
4,307730,307747
11,307940,307947
6,308100,308147
12,308330,308347
8,308510,308547
10,308720,308747
7,308980,308947
3,309220,309147
1,309320,309346
5,309490,309546
9,309760,309746
2,309950,309946
11,310140,310146
4,310400,310346
12,310560,310546
6,310740,310746
10,310930,310946
8,311130,311146
3,311650,311592
7,311820,311793
5,312020,311994
1,312240,312194
2,312390,312395
9,312620,312595
4,312860,312796
11,312980,312997
6,313170,313197
12,313360,313398
8,313540,313599
10,313770,313799
3,314040,314000
7,314200,314201
1,314410,314401
5,314590,314602
2,314800,314803
4,315060,315003
9,315210,315204
6,315390,315405
11,315590,315605
8,315800,315806
12,315980,316007
10,316240,316207
7,316650,316644
3,316880,316844
5,317090,317044
1,317320,317244
4,317460,317444
2,317660,317644
6,317830,317844
9,318020,318044
8,318220,318244
11,318410,318444
10,318590,318643
12,318770,318843
3,319090,319043
7,319210,319243
5,319420,319443
4,319650,319643
1,319900,319843
2,320050,320043
9,320250,320243
6,320420,320443
11,320640,320643
8,320870,320843
12,321020,321042
10,321270,321242
7,321680,321682
3,321920,321881
4,322070,322081
5,322280,322280
2,322520,322479
1,322780,322679
6,322840,322878
9,323040,323077
8,323260,323277
11,323450,323476
10,323640,323675
12,323820,323875
7,324090,324074
4,324300,324273
3,324510,324473
5,324690,324672
1,324940,324871
2,325110,325071
6,325220,325270
8,325460,325469
9,325670,325669
10,325850,325868
11,326030,326067
12,326270,326267
4,326750,326716
7,326930,326915
5,327150,327115
3,327320,327315
2,327560,327515
1,327770,327714
8,327900,327914
6,328060,328114
10,328310,328314
9,328470,328513
12,328690,328713
11,328890,328913
7,329110,329112
4,329320,329312
3,329560,329512
5,329720,329712
2,329920,329911
8,330150,330111
1,330330,330311
6,330470,330511
9,330720,330710
10,330930,330910
11,331070,331110
12,331300,331309
4,331770,331749
7,331950,331948
5,332180,332148
3,332350,332347
8,332520,332547
2,332750,332746
6,332940,332946
1,333180,333145
10,333340,333344
9,333500,333544
12,333740,333743
11,333920,333943
4,334150,334142
5,334340,334341
7,334530,334541
8,334750,334740
3,334960,334940
2,335140,335139
1,335360,335339
6,335520,335538
10,335690,335737
12,335960,335937
9,336140,336136
11,336350,336336
5,336810,336784
4,336990,336984
8,337180,337184
7,337410,337384
2,337610,337584
3,337780,337784
6,337970,337984
1,338230,338183
12,338360,338383
10,338610,338583
11,338760,338783
9,338940,338983
4,339180,339183
5,339400,339383
7,339590,339583
8,339800,339783
3,339990,339983
